predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
absolute,eastern,B,Rx1day climatology,rx1day,ssp585,23,13,-0.296,0.1814,-0.456,0.989,0.5067,no,yes
absolute,eastern,B,Rx1day climatology,r95p,ssp126,23,13,-0.772,0.002,0.293,0.987,0.0352,yes,yes
absolute,eastern,B,Rx1day climatology,r95p,ssp245,23,13,-0.237,0.2649,-0.704,0.912,0.6476,no,yes
absolute,eastern,B,Rx1day climatology,r95p,ssp370,23,13,-0.648,0.007,0.051,0.937,0.077,no,yes
absolute,eastern,B,Rx1day climatology,r95p,ssp585,23,13,-0.222,0.3181,-0.367,0.961,0.7272,no,yes
absolute,eastern,B,R95p climatology,rx1day,ssp126,23,13,-0.791,0.0012,0.506,0.993,0.0308,yes,yes
absolute,eastern,B,R95p climatology,rx1day,ssp245,23,13,-0.07,0.752,-0.313,0.686,0.997,no,yes
absolute,eastern,B,R95p climatology,rx1day,ssp370,23,13,-0.582,0.0108,-0.044,0.881,0.0985,no,yes
absolute,eastern,B,R95p climatology,rx1day,ssp585,23,13,0.009,0.9692,-0.168,0.501,0.997,no,yes
absolute,eastern,B,R95p climatology,r95p,ssp126,23,13,-0.808,0.0016,0.396,0.988,0.0313,yes,yes
absolute,eastern,B,R95p climatology,r95p,ssp245,23,13,-0.062,0.7704,-0.376,0.65,0.997,no,yes
absolute,eastern,B,R95p climatology,r95p,ssp370,23,13,-0.6,0.0244,-0.354,0.846,0.1443,no,yes
absolute,eastern,B,R95p climatology,r95p,ssp585,23,13,-0.02,0.9388,-0.157,0.573,0.997,no,yes
absolute,eastern,B,R99p climatology,rx1day,ssp126,23,13,-0.689,0.0062,0.063,0.954,0.0727,no,yes
absolute,eastern,B,R99p climatology,rx1day,ssp245,23,13,-0.007,0.9742,-0.177,0.543,0.997,no,yes
absolute,eastern,B,R99p climatology,rx1day,ssp370,23,13,-0.511,0.0284,-0.335,0.831,0.1612,no,yes
absolute,eastern,B,R99p climatology,rx1day,ssp585,23,13,0.072,0.7692,-0.243,0.685,0.997,no,yes
absolute,eastern,B,R99p climatology,r95p,ssp126,23,13,-0.699,0.0142,-0.187,0.901,0.1083,no,yes
